[2026-01-20 21:19:40,350] INFO: Found 15686 areas to scan
[2026-01-20 21:19:44,424] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128970060: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyC6Zfz60B--eTcS7OmRAIEpo6f
[2026-01-20 21:19:44,428] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129602849: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyIrRZWRRbwOGXXlh3LQDYBvPQz
[2026-01-20 21:19:44,429] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/127864629: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyALEQgt6CoR-4HM2-VyW9CBh3h
[2026-01-20 21:19:44,447] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/123756385: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyGDcMUh1hiXx3Zj2bevcel9hoW
[2026-01-20 21:19:44,455] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/127704700: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyM0NJToEWTAdWw6j8uBq0nS1Lf
[2026-01-20 21:19:44,460] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129011655: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyCstmd_bXXW7YpKOmN7g8qhSoJ
[2026-01-20 21:19:44,496] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129230520: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyDHMEeRB1RvoFFUQZ14jFihgMb
[2026-01-20 21:19:44,497] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129502858: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyO6YPRAtCaQJXzBu8iMxm0ECqH
[2026-01-20 21:19:44,503] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129277051: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyIjbXbZEjggeW5vRDZN_ldkGQm
[2026-01-20 21:19:44,507] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129401321: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyPCYpB9MweUKjsw47VMid28vGS
[2026-01-20 21:19:44,509] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/127448964: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyGqpzb_WyAn3oMIRZRGZR-nltW
[2026-01-20 21:19:44,510] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/128117149: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKxGTcJ3r4gg6Mgu6mHk7Fw3Or
[2026-01-20 21:19:44,513] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129450375: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKPRX7-YZr200IStZOM1ukedrv
[2026-01-20 21:19:44,520] ERROR: Unexpected status 403 for https://api.hh.ru/vacancies/129596193: {"errors":[{"value":"captcha_required","captcha_url":"https://hh.ru/account/captcha?state=pxvcxBozfu7ry7R4QCetFmUA3SFZr_Pa4yXPQEusAiQIVW2lajVtNll6OObEQw_9kbOPkbKbHHm7t-XIJMQfyKrtdY1nNheHxmzoXwoG71PRmf
